매물위치(1),매물위치(2),매물위치(3),종류/장점,제목,상태,가격,면적,방식,참고,조회수,매물위치(url)
경기도,화성시,정남면,시설-38 재활용/폐기물,"화성 정남면 PP, PE 재활용공장 파쇄, 분쇄, 압출 공장...",진행,"167,000만원","대지 : 1,580㎡ (478평)
건물 : 715㎡ (216평)",매매,구분 층명 구조 용도 면적(㎡) 지상 일동 1층 경량철골조 판넬 분뇨...,119,http://www.okfactory.com/main/estat_view.php?board_data=aWR4PTcyOTAmc3RhcnRQYWdlPTEyJmxpc3RObz01MTk2JnRhYmxlPSZjb2RlPSZzZWFyY2hfaXRlbT0mc2VhcmNoX29yZGVyPSZzZWFyY2hfbm89||&search_items=dHJhZGVfdHlwZT0mXyZ0cmFkZV9pbWc9Jl8mYXJlYV9pbWc9Jl8mc2VhcmNoX29yZGVyPSZfJnNlYXJjaF9vcGVuPSZfJnNlYXJjaF9ubz0mXyZzZWFyY2hfY29tYXBhbnk9Jl8mc2VhcmNoX25hbWU9Jl8mc2VhcmNoX2FkZHI9Jl8mc2VhcmNoX2Jsb2NrPSZfJnNlYXJjaF9sb3Q9Jl8mc2VhcmNoX29wZW49Jl8mdW5zaW5nY29kZTE9MTE4MTYzNjA4NSZfJnVuc2luZ2NvZGUyPTEyMTM3MDAxMTMmXyZ1bnNpbmdjb2RlMz0mXyZkaXNwbGF5X2ltZz0mXyZ1c2VyaWQ9Jl8mcHllb25nMT0mXyZweWVvbmcyPSZfJnB5b25nMT0mXyZweW9uZzI9Jl8mbW9uZXkxPSZfJm1vbmV5Mj0mXyZob2lzdDE9Jl8maG9pc3QyPSZfJnBvd2VyMT0mXyZwb3dlcjI9Jl8maGVpZ2h0MT0mXyZoZWlnaHQyPSZfJmNpdHk9Jl8mZ29vPSZfJmRvbmc9Jl8mc2l6ZXR5cGU9Jl8mc29ydD0=||
경기도,화성시,정남면,공장-29.30 기계장비/자동차,화성시 정남면 일반산업단지 신축공장 임대. 전체 대지 5322..,진행,"8,400만원","대지 : 17,600㎡ (5,324평)
건물 : 13,890㎡ (4,202평)",월세,"신축공장 입니다.  공장 2개 동 구성. 각동별 2100평 ,..",119,http://www.okfactory.com/main/estat_view.php?board_data=aWR4PTcyNjYmc3RhcnRQYWdlPTM2Jmxpc3RObz01MTczJnRhYmxlPSZjb2RlPSZzZWFyY2hfaXRlbT0mc2VhcmNoX29yZGVyPSZzZWFyY2hfbm89||&search_items=dHJhZGVfdHlwZT0mXyZ0cmFkZV9pbWc9Jl8mYXJlYV9pbWc9Jl8mc2VhcmNoX29yZGVyPSZfJnNlYXJjaF9vcGVuPSZfJnNlYXJjaF9ubz0mXyZzZWFyY2hfY29tYXBhbnk9Jl8mc2VhcmNoX25hbWU9Jl8mc2VhcmNoX2FkZHI9Jl8mc2VhcmNoX2Jsb2NrPSZfJnNlYXJjaF9sb3Q9Jl8mc2VhcmNoX29wZW49Jl8mdW5zaW5nY29kZTE9MTE4MTYzNjA4NSZfJnVuc2luZ2NvZGUyPTEyMTM3MDAxMTMmXyZ1bnNpbmdjb2RlMz0mXyZkaXNwbGF5X2ltZz0mXyZ1c2VyaWQ9Jl8mcHllb25nMT0mXyZweWVvbmcyPSZfJnB5b25nMT0mXyZweW9uZzI9Jl8mbW9uZXkxPSZfJm1vbmV5Mj0mXyZob2lzdDE9Jl8maG9pc3QyPSZfJnBvd2VyMT0mXyZwb3dlcjI9Jl8maGVpZ2h0MT0mXyZoZWlnaHQyPSZfJmNpdHk9Jl8mZ29vPSZfJmRvbmc9Jl8mc2l6ZXR5cGU9Jl8mc29ydD0=||
경기도,화성시,정남면,공장-16.33 기타소형/일반,화성 정남 교통요충지 최고의 소형공장 매매[부지 210평+도로..,진행,"85,000만원","대지 : 714㎡ (216평)
건물 : 199㎡ (60평)",매매,지목 공장용지 면적 694㎡ 외 도로지분 약 8..,350,http://www.okfactory.com/main/estat_view.php?board_data=aWR4PTcxNzUmc3RhcnRQYWdlPTEyMCZsaXN0Tm89NTA4MiZ0YWJsZT0mY29kZT0mc2VhcmNoX2l0ZW09JnNlYXJjaF9vcmRlcj0mc2VhcmNoX25vPQ==||&search_items=dHJhZGVfdHlwZT0mXyZ0cmFkZV9pbWc9Jl8mYXJlYV9pbWc9Jl8mc2VhcmNoX29yZGVyPSZfJnNlYXJjaF9vcGVuPSZfJnNlYXJjaF9ubz0mXyZzZWFyY2hfY29tYXBhbnk9Jl8mc2VhcmNoX25hbWU9Jl8mc2VhcmNoX2FkZHI9Jl8mc2VhcmNoX2Jsb2NrPSZfJnNlYXJjaF9sb3Q9Jl8mc2VhcmNoX29wZW49Jl8mdW5zaW5nY29kZTE9MTE4MTYzNjA4NSZfJnVuc2luZ2NvZGUyPTEyMTM3MDAxMTMmXyZ1bnNpbmdjb2RlMz0mXyZkaXNwbGF5X2ltZz0mXyZ1c2VyaWQ9Jl8mcHllb25nMT0mXyZweWVvbmcyPSZfJnB5b25nMT0mXyZweW9uZzI9Jl8mbW9uZXkxPSZfJm1vbmV5Mj0mXyZob2lzdDE9Jl8maG9pc3QyPSZfJnBvd2VyMT0mXyZwb3dlcjI9Jl8maGVpZ2h0MT0mXyZoZWlnaHQyPSZfJmNpdHk9Jl8mZ29vPSZfJmRvbmc9Jl8mc2l6ZXR5cGU9Jl8mc29ydD0=||
경기도,화성시,정남면,토지-공장.창고부지,화성시 정남면 별장지 공장용지.창고용지.야적장.연수원. 요양원..,진행,"228,200만원","대지 : 4,713㎡ (1,426평)
건물 : 199㎡ (60평)",매매,"""총면적 1426평"" 토지의 모양을 살리고 지가를 상승시키기 위해 본..",419,http://www.okfactory.com/main/estat_view.php?board_data=aWR4PTcwMTMmc3RhcnRQYWdlPTI4OCZsaXN0Tm89NDkyMSZ0YWJsZT0mY29kZT0mc2VhcmNoX2l0ZW09JnNlYXJjaF9vcmRlcj0mc2VhcmNoX25vPQ==||&search_items=dHJhZGVfdHlwZT0mXyZ0cmFkZV9pbWc9Jl8mYXJlYV9pbWc9Jl8mc2VhcmNoX29yZGVyPSZfJnNlYXJjaF9vcGVuPSZfJnNlYXJjaF9ubz0mXyZzZWFyY2hfY29tYXBhbnk9Jl8mc2VhcmNoX25hbWU9Jl8mc2VhcmNoX2FkZHI9Jl8mc2VhcmNoX2Jsb2NrPSZfJnNlYXJjaF9sb3Q9Jl8mc2VhcmNoX29wZW49Jl8mdW5zaW5nY29kZTE9MTE4MTYzNjA4NSZfJnVuc2luZ2NvZGUyPTEyMTM3MDAxMTMmXyZ1bnNpbmdjb2RlMz0mXyZkaXNwbGF5X2ltZz0mXyZ1c2VyaWQ9Jl8mcHllb25nMT0mXyZweWVvbmcyPSZfJnB5b25nMT0mXyZweW9uZzI9Jl8mbW9uZXkxPSZfJm1vbmV5Mj0mXyZob2lzdDE9Jl8maG9pc3QyPSZfJnBvd2VyMT0mXyZwb3dlcjI9Jl8maGVpZ2h0MT0mXyZoZWlnaHQyPSZfJmNpdHk9Jl8mZ29vPSZfJmRvbmc9Jl8mc2l6ZXR5cGU9Jl8mc29ydD0=||
경기도,화성시,정남면,공장-27.28 정밀/전기장비,"IT, 전자부품 업종, 연구소/사옥빌딩(공장) 매각 [대지 54..",진행,"380,000만원","대지 : 1,796㎡ (543평)
건물 : 639㎡ (193평)",매매,"◆ ARCHITECTURE IT, 반도체, 벤처사옥, 카페, 스크린골프,..",755,http://www.okfactory.com/main/estat_view.php?board_data=aWR4PTY5MTQmc3RhcnRQYWdlPTM4NCZsaXN0Tm89NDgyNSZ0YWJsZT0mY29kZT0mc2VhcmNoX2l0ZW09JnNlYXJjaF9vcmRlcj0mc2VhcmNoX25vPQ==||&search_items=dHJhZGVfdHlwZT0mXyZ0cmFkZV9pbWc9Jl8mYXJlYV9pbWc9Jl8mc2VhcmNoX29yZGVyPSZfJnNlYXJjaF9vcGVuPSZfJnNlYXJjaF9ubz0mXyZzZWFyY2hfY29tYXBhbnk9Jl8mc2VhcmNoX25hbWU9Jl8mc2VhcmNoX2FkZHI9Jl8mc2VhcmNoX2Jsb2NrPSZfJnNlYXJjaF9sb3Q9Jl8mc2VhcmNoX29wZW49Jl8mdW5zaW5nY29kZTE9MTE4MTYzNjA4NSZfJnVuc2luZ2NvZGUyPTEyMTM3MDAxMTMmXyZ1bnNpbmdjb2RlMz0mXyZkaXNwbGF5X2ltZz0mXyZ1c2VyaWQ9Jl8mcHllb25nMT0mXyZweWVvbmcyPSZfJnB5b25nMT0mXyZweW9uZzI9Jl8mbW9uZXkxPSZfJm1vbmV5Mj0mXyZob2lzdDE9Jl8maG9pc3QyPSZfJnBvd2VyMT0mXyZwb3dlcjI9Jl8maGVpZ2h0MT0mXyZoZWlnaHQyPSZfJmNpdHk9Jl8mZ29vPSZfJmRvbmc9Jl8mc2l6ZXR5cGU9Jl8mc29ydD0=||
경기도,화성시,정남면,공장-16.33 기타소형/일반,"정남IC 인근 대로변 공장/물류창고 [대지 3786평, 건물 1..",진행,"1,240,000만원","대지 : 12,516㎡ (3,786평)
건물 : 12,516㎡ (3,786평)",매매,"정남IC 인근 대로변 공장/물류창고 [대지 3786평, 건물 1129 ..",393,http://www.okfactory.com/main/estat_view.php?board_data=aWR4PTY4OTcmc3RhcnRQYWdlPTM5NiZsaXN0Tm89NDgwOSZ0YWJsZT0mY29kZT0mc2VhcmNoX2l0ZW09JnNlYXJjaF9vcmRlcj0mc2VhcmNoX25vPQ==||&search_items=dHJhZGVfdHlwZT0mXyZ0cmFkZV9pbWc9Jl8mYXJlYV9pbWc9Jl8mc2VhcmNoX29yZGVyPSZfJnNlYXJjaF9vcGVuPSZfJnNlYXJjaF9ubz0mXyZzZWFyY2hfY29tYXBhbnk9Jl8mc2VhcmNoX25hbWU9Jl8mc2VhcmNoX2FkZHI9Jl8mc2VhcmNoX2Jsb2NrPSZfJnNlYXJjaF9sb3Q9Jl8mc2VhcmNoX29wZW49Jl8mdW5zaW5nY29kZTE9MTE4MTYzNjA4NSZfJnVuc2luZ2NvZGUyPTEyMTM3MDAxMTMmXyZ1bnNpbmdjb2RlMz0mXyZkaXNwbGF5X2ltZz0mXyZ1c2VyaWQ9Jl8mcHllb25nMT0mXyZweWVvbmcyPSZfJnB5b25nMT0mXyZweW9uZzI9Jl8mbW9uZXkxPSZfJm1vbmV5Mj0mXyZob2lzdDE9Jl8maG9pc3QyPSZfJnBvd2VyMT0mXyZwb3dlcjI9Jl8maGVpZ2h0MT0mXyZoZWlnaHQyPSZfJmNpdHk9Jl8mZ29vPSZfJmRvbmc9Jl8mc2l6ZXR5cGU9Jl8mc29ydD0=||
경기도,화성시,정남면,공장-16.33 기타소형/일반,"정남IC 바로 앞 소형공장 대지 300평, 건 60평, 평당 3..",진행,"90,000만원","대지 : 992㎡ (300평)
건물 : 199㎡ (60평)",매매,"정남IC 바로 앞 소형공장 대지 300평, 건 60평, 평당 300만...",515,http://www.okfactory.com/main/estat_view.php?board_data=aWR4PTY3MTgmc3RhcnRQYWdlPTU3NiZsaXN0Tm89NDYzMiZ0YWJsZT0mY29kZT0mc2VhcmNoX2l0ZW09JnNlYXJjaF9vcmRlcj0mc2VhcmNoX25vPQ==||&search_items=dHJhZGVfdHlwZT0mXyZ0cmFkZV9pbWc9Jl8mYXJlYV9pbWc9Jl8mc2VhcmNoX29yZGVyPSZfJnNlYXJjaF9vcGVuPSZfJnNlYXJjaF9ubz0mXyZzZWFyY2hfY29tYXBhbnk9Jl8mc2VhcmNoX25hbWU9Jl8mc2VhcmNoX2FkZHI9Jl8mc2VhcmNoX2Jsb2NrPSZfJnNlYXJjaF9sb3Q9Jl8mc2VhcmNoX29wZW49Jl8mdW5zaW5nY29kZTE9MTE4MTYzNjA4NSZfJnVuc2luZ2NvZGUyPTEyMTM3MDAxMTMmXyZ1bnNpbmdjb2RlMz0mXyZkaXNwbGF5X2ltZz0mXyZ1c2VyaWQ9Jl8mcHllb25nMT0mXyZweWVvbmcyPSZfJnB5b25nMT0mXyZweW9uZzI9Jl8mbW9uZXkxPSZfJm1vbmV5Mj0mXyZob2lzdDE9Jl8maG9pc3QyPSZfJnBvd2VyMT0mXyZwb3dlcjI9Jl8maGVpZ2h0MT0mXyZoZWlnaHQyPSZfJmNpdHk9Jl8mZ29vPSZfJmRvbmc9Jl8mc2l6ZXR5cGU9Jl8mc29ydD0=||
경기도,화성시,정남면,공장-16.33 기타소형/일반,"봉담/남봉담IC 도시지역내 소형공장 급매각 대지 480평, 건 ..",진행,"150,000만원","대지 : 1,585㎡ (479평)
건물 : 790㎡ (239평)",매매,입지가 뛰어나 소형공장,1269,http://www.okfactory.com/main/estat_view.php?board_data=aWR4PTY2ODYmc3RhcnRQYWdlPTYwMCZsaXN0Tm89NDYwMiZ0YWJsZT0mY29kZT0mc2VhcmNoX2l0ZW09JnNlYXJjaF9vcmRlcj0mc2VhcmNoX25vPQ==||&search_items=dHJhZGVfdHlwZT0mXyZ0cmFkZV9pbWc9Jl8mYXJlYV9pbWc9Jl8mc2VhcmNoX29yZGVyPSZfJnNlYXJjaF9vcGVuPSZfJnNlYXJjaF9ubz0mXyZzZWFyY2hfY29tYXBhbnk9Jl8mc2VhcmNoX25hbWU9Jl8mc2VhcmNoX2FkZHI9Jl8mc2VhcmNoX2Jsb2NrPSZfJnNlYXJjaF9sb3Q9Jl8mc2VhcmNoX29wZW49Jl8mdW5zaW5nY29kZTE9MTE4MTYzNjA4NSZfJnVuc2luZ2NvZGUyPTEyMTM3MDAxMTMmXyZ1bnNpbmdjb2RlMz0mXyZkaXNwbGF5X2ltZz0mXyZ1c2VyaWQ9Jl8mcHllb25nMT0mXyZweWVvbmcyPSZfJnB5b25nMT0mXyZweW9uZzI9Jl8mbW9uZXkxPSZfJm1vbmV5Mj0mXyZob2lzdDE9Jl8maG9pc3QyPSZfJnBvd2VyMT0mXyZwb3dlcjI9Jl8maGVpZ2h0MT0mXyZoZWlnaHQyPSZfJmNpdHk9Jl8mZ29vPSZfJmRvbmc9Jl8mc2l6ZXR5cGU9Jl8mc29ydD0=||
